Company,Year,Product,Count,Name,Rank
BANK OF AMERICA NA,2012,Bank account or service,2037,Bank of America,1
BANK OF AMERICA NA,2013,Bank account or service,2195,Bank of America,1
BANK OF AMERICA NA,2014,Bank account or service,2427,Bank of America,1
BANK OF AMERICA NA,2015,Bank account or service,2925,Bank of America,1
BANK OF AMERICA NA,2016,Bank account or service,3244,Bank of America,1
BANK OF AMERICA NA,2017,Bank account or service,1088,Bank of America,1
WELLS FARGO BANK NA,2012,Bank account or service,2271,Wells Fargo,2
WELLS FARGO BANK NA,2013,Bank account or service,2392,Wells Fargo,2
WELLS FARGO BANK NA,2014,Bank account or service,2363,Wells Fargo,2
WELLS FARGO BANK NA,2015,Bank account or service,2329,Wells Fargo,2
WELLS FARGO BANK NA,2016,Bank account or service,3065,Wells Fargo,2
WELLS FARGO BANK NA,2017,Bank account or service,915,Wells Fargo,2
JPMORGAN CHASE CO,2012,Bank account or service,1320,JPMorgan Chase,3
JPMORGAN CHASE CO,2013,Bank account or service,1420,JPMorgan Chase,3
JPMORGAN CHASE CO,2014,Bank account or service,1666,JPMorgan Chase,3
JPMORGAN CHASE CO,2015,Bank account or service,2006,JPMorgan Chase,3
JPMORGAN CHASE CO,2016,Bank account or service,2581,JPMorgan Chase,3
JPMORGAN CHASE CO,2017,Bank account or service,823,JPMorgan Chase,3
CITIBANK NA,2012,Bank account or service,357,Citibank,4
CITIBANK NA,2013,Bank account or service,408,Citibank,4
CITIBANK NA,2014,Bank account or service,494,Citibank,4
CITIBANK NA,2015,Bank account or service,598,Citibank,4
CITIBANK NA,2016,Bank account or service,2091,Citibank,4
CITIBANK NA,2017,Bank account or service,502,Citibank,4
CAPITAL ONE FINANCIAL CORPORATION,2012,Bank account or service,442,Capital One,5
CAPITAL ONE FINANCIAL CORPORATION,2013,Bank account or service,429,Capital One,5
CAPITAL ONE FINANCIAL CORPORATION,2014,Bank account or service,370,Capital One,5
CAPITAL ONE FINANCIAL CORPORATION,2015,Bank account or service,448,Capital One,5
CAPITAL ONE FINANCIAL CORPORATION,2016,Bank account or service,570,Capital One,5
CAPITAL ONE FINANCIAL CORPORATION,2017,Bank account or service,186,Capital One,5
OCWEN LOAN SERVICING LLC,2012,Bank account or service,5,Ocwen Loan Servicing,6
OCWEN LOAN SERVICING LLC,2013,Bank account or service,19,Ocwen Loan Servicing,6
OCWEN LOAN SERVICING LLC,2014,Bank account or service,18,Ocwen Loan Servicing,6
OCWEN LOAN SERVICING LLC,2015,Bank account or service,13,Ocwen Loan Servicing,6
OCWEN LOAN SERVICING LLC,2016,Bank account or service,6,Ocwen Loan Servicing,6
OCWEN LOAN SERVICING LLC,2017,Bank account or service,1,Ocwen Loan Servicing,6
US BANCORP,2012,Bank account or service,479,US Bancorp,7
US BANCORP,2013,Bank account or service,619,US Bancorp,7
US BANCORP,2014,Bank account or service,716,US Bancorp,7
US BANCORP,2015,Bank account or service,750,US Bancorp,7
US BANCORP,2016,Bank account or service,891,US Bancorp,7
US BANCORP,2017,Bank account or service,271,US Bancorp,7
SYNCHRONY BANK,2012,Bank account or service,71,Synchrony Bank,8
SYNCHRONY BANK,2013,Bank account or service,82,Synchrony Bank,8
SYNCHRONY BANK,2014,Bank account or service,129,Synchrony Bank,8
SYNCHRONY BANK,2015,Bank account or service,183,Synchrony Bank,8
SYNCHRONY BANK,2016,Bank account or service,221,Synchrony Bank,8
SYNCHRONY BANK,2017,Bank account or service,60,Synchrony Bank,8
PNC Bank NA,2012,Bank account or service,597,PNC Bank,9
PNC Bank NA,2013,Bank account or service,558,PNC Bank,9
PNC Bank NA,2014,Bank account or service,663,PNC Bank,9
PNC Bank NA,2015,Bank account or service,652,PNC Bank,9
PNC Bank NA,2016,Bank account or service,766,PNC Bank,9
PNC Bank NA,2017,Bank account or service,255,PNC Bank,9
HSBC NORTH AMERICA HOLDINGS INC,2012,Bank account or service,237,HSBC,10
HSBC NORTH AMERICA HOLDINGS INC,2013,Bank account or service,174,HSBC,10
HSBC NORTH AMERICA HOLDINGS INC,2014,Bank account or service,152,HSBC,10
HSBC NORTH AMERICA HOLDINGS INC,2015,Bank account or service,180,HSBC,10
HSBC NORTH AMERICA HOLDINGS INC,2016,Bank account or service,186,HSBC,10
HSBC NORTH AMERICA HOLDINGS INC,2017,Bank account or service,89,HSBC,10
Navient Solutions LLC,2012,Bank account or service,1,Navient,11
Navient Solutions LLC,2013,Bank account or service,2,Navient,11
Navient Solutions LLC,2014,Bank account or service,7,Navient,11
Navient Solutions LLC,2015,Bank account or service,1,Navient,11
Navient Solutions LLC,2016,Bank account or service,3,Navient,11
Navient Solutions LLC,2017,Bank account or service,1,Navient,11
SUNTRUST BANKS INC,2012,Bank account or service,326,SunTrust Banks,12
SUNTRUST BANKS INC,2013,Bank account or service,395,SunTrust Banks,12
SUNTRUST BANKS INC,2014,Bank account or service,427,SunTrust Banks,12
SUNTRUST BANKS INC,2015,Bank account or service,552,SunTrust Banks,12
SUNTRUST BANKS INC,2016,Bank account or service,669,SunTrust Banks,12
SUNTRUST BANKS INC,2017,Bank account or service,190,SunTrust Banks,12
NATIONSTAR MORTGAGE,2012,Bank account or service,0,Nationstar Mortgage,13
NATIONSTAR MORTGAGE,2013,Bank account or service,7,Nationstar Mortgage,13
NATIONSTAR MORTGAGE,2014,Bank account or service,5,Nationstar Mortgage,13
NATIONSTAR MORTGAGE,2015,Bank account or service,7,Nationstar Mortgage,13
NATIONSTAR MORTGAGE,2016,Bank account or service,7,Nationstar Mortgage,13
NATIONSTAR MORTGAGE,2017,Bank account or service,3,Nationstar Mortgage,13
AMERICAN EXPRESS CENTURION BANK,2012,Bank account or service,27,American Express,14
AMERICAN EXPRESS CENTURION BANK,2013,Bank account or service,47,American Express,14
AMERICAN EXPRESS CENTURION BANK,2014,Bank account or service,91,American Express,14
AMERICAN EXPRESS CENTURION BANK,2015,Bank account or service,96,American Express,14
AMERICAN EXPRESS CENTURION BANK,2016,Bank account or service,139,American Express,14
AMERICAN EXPRESS CENTURION BANK,2017,Bank account or service,47,American Express,14
DISCOVER BANK,2012,Bank account or service,35,Discover Bank,15
DISCOVER BANK,2013,Bank account or service,39,Discover Bank,15
DISCOVER BANK,2014,Bank account or service,57,Discover Bank,15
DISCOVER BANK,2015,Bank account or service,113,Discover Bank,15
DISCOVER BANK,2016,Bank account or service,204,Discover Bank,15
DISCOVER BANK,2017,Bank account or service,39,Discover Bank,15
Ditech Financial LLC,2012,Bank account or service,1,Ditech,16
Ditech Financial LLC,2013,Bank account or service,6,Ditech,16
Ditech Financial LLC,2014,Bank account or service,8,Ditech,16
Ditech Financial LLC,2015,Bank account or service,7,Ditech,16
Ditech Financial LLC,2016,Bank account or service,6,Ditech,16
