company,year,rank,group
AMERICAN EXPRESS CENTURION BANK,2012,14,mortgage
AMERICAN EXPRESS CENTURION BANK,2013,18,mortgage
AMERICAN EXPRESS CENTURION BANK,2014,18,mortgage
AMERICAN EXPRESS CENTURION BANK,2015,16,mortgage
AMERICAN EXPRESS CENTURION BANK,2016,15,mortgage
AMERICAN EXPRESS CENTURION BANK,2017,14,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2012,1,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2013,1,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2014,1,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2015,4,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2016,5,mortgage
"BANK OF AMERICA, NATIONAL ASSOCIATION",2017,6,mortgage
CAPITAL ONE FINANCIAL CORPORATION,2012,5,credit-card
CAPITAL ONE FINANCIAL CORPORATION,2013,9,credit-card
CAPITAL ONE FINANCIAL CORPORATION,2014,10,credit-card
CAPITAL ONE FINANCIAL CORPORATION,2015,10,credit-card
CAPITAL ONE FINANCIAL CORPORATION,2016,8,credit-card
CAPITAL ONE FINANCIAL CORPORATION,2017,9,credit-card
"CITIBANK, N.A.",2012,4,credit-card
"CITIBANK, N.A.",2013,4,credit-card
"CITIBANK, N.A.",2014,8,credit-card
"CITIBANK, N.A.",2015,7,credit-card
"CITIBANK, N.A.",2016,7,credit-card
"CITIBANK, N.A.",2017,8,credit-card
DISCOVER BANK,2012,15,credit-card
DISCOVER BANK,2013,20,credit-card
DISCOVER BANK,2014,20,credit-card
DISCOVER BANK,2015,18,credit-card
DISCOVER BANK,2016,17,credit-card
DISCOVER BANK,2017,16,credit-card
Ditech Financial LLC,2012,16,mortgage
Ditech Financial LLC,2013,11,mortgage
Ditech Financial LLC,2014,15,mortgage
Ditech Financial LLC,2015,13,mortgage
Ditech Financial LLC,2016,13,mortgage
Ditech Financial LLC,2017,15,mortgage
ENCORE CAPITAL GROUP INC.,2012,20,mortgage
ENCORE CAPITAL GROUP INC.,2013,19,mortgage
ENCORE CAPITAL GROUP INC.,2014,12,mortgage
ENCORE CAPITAL GROUP INC.,2015,14,mortgage
ENCORE CAPITAL GROUP INC.,2016,18,mortgage
ENCORE CAPITAL GROUP INC.,2017,17,mortgage
"EQUIFAX, INC.",2012,18,credit-reporting
"EQUIFAX, INC.",2013,7,credit-reporting
"EQUIFAX, INC.",2014,3,credit-reporting
"EQUIFAX, INC.",2015,1,credit-reporting
"EQUIFAX, INC.",2016,1,credit-reporting
"EQUIFAX, INC.",2017,2,credit-reporting
EXPERIAN DELAWARE GP,2012,17,credit-reporting
